Part_Number,Organization,WIP,Coldhead_Serial_Number,Temps,Arrival_Date,Teardown_Date,Test_Date,Date_Closed,depart_date,status
300388D.002,RCZ,230832,J01735,,2019-02-07T09:00:00,,2019-07-29 00:00:00,2019-07-30 00:00:00,2019-08-02 00:00:00,Closed
300388D.002,RCZ,230966,SJ02716,,2019-02-15T09:00:00,,2019-08-06 00:00:00,2019-08-09 00:00:00,2019-08-16 00:00:00,Closed
300388D.002,RCZ,230831,J03191,,2019-02-07T09:00:00,,2019-08-12 00:00:00,2019-08-12 00:00:00,2019-08-16 00:00:00,Closed
300388D.002,RCZ,230249,J03527,,2019-01-10T09:00:00,,2019-08-16 00:00:00,2019-08-16 00:00:00,2019-08-23 00:00:00,Closed
300388D.002,RCZ,232118,SJ03060,,2019-04-24T08:00:00,,2019-08-19 00:00:00,2019-08-28 00:00:00,2019-08-30 00:00:00,Closed
300888D.002,,234394,J04154,,2019-08-21,,2019-08-30 00:00:00,2019-09-03 00:00:00,2019-09-06 00:00:00,Closed
300388D.002,,321665,J04032,,2019-03-26 00:00:00,,2019-09-03 00:00:00,2019-09-06 00:00:00,2019-09-13 00:00:00,Closed
300388D.002,RCZ,230357,SJ03482,,2019-01-17T09:00:00,,2019-09-04 00:00:00,2019-09-09 00:00:00,2019-09-13 00:00:00,CLOSED
300388D.002,RCZ,232021,J03190,,2019-04-16T08:00:00,,2019-09-05 00:00:00,2019-09-10 00:00:00,2019-09-13 00:00:00,Closed
300388D.002,,230965,J03393,,2019-02-15 00:00:00,,2019-09-11 00:00:00,2019-09-11 00:00:00,2019-09-13 00:00:00,Closed
300388D.002,,230835,J03838,,2019-02-07 00:00:00,,2019-10-21 00:00:00,2019-10-21 00:00:00,2019-10-25 00:00:00,Closed
300388D.002,,230356,J03942,,2019-01-18 00:00:00,,2019-10-21 00:00:00,2019-11-04 00:00:00,2019-11-01 00:00:00,Closed
300388D.002,RCZ,230967,J02618,,2019-02-15T09:00:00,,2019-11-04 00:00:00,2019-11-07 00:00:00,2019-11-08 00:00:00,Closed
300388D.002,RCZ,235721,J01719,,2019-11-04T09:00:00,,2019-11-04 00:00:00,2019-11-07 00:00:00,2019-11-07 00:00:00,Closed
300388D.002,RCZ,234769,J03970,,2019-09-17T08:00:00,,2019-11-19 00:00:00,2019-11-20 00:00:00,2019-11-22 00:00:00,Closed
300388D.002,RCZ,231268,J03121,,2019-03-11T08:00:00,,2019-11-14 00:00:00,2019-11-20 00:00:00,2019-11-22 00:00:00,Closed
300388D.002,RCZ,235976,J01941,,2019-11-21T09:00:00,,2019-11-14 00:00:00,2019-11-25 00:00:00,2019-11-22 00:00:00,Closed
300388D.002,,234770,J03723,,2019-09-17 00:00:00,,SCRAP,2019-11-26 00:00:00,SCRAP,Closed
300388D.002,RCZ,232219,J02593,,2019-05-02T08:00:00,,2019-12-03 00:00:00,2019-12-05 00:00:00,2019-12-06 00:00:00,Closed
300388D.002,RCZ,230833,J01991,,2019-02-07T09:00:00,,2019-12-05 00:00:00,2019-12-11 00:00:00,2019-12-13 00:00:00,Closed
300388D.002,,235742,J03100,,2019-11-05 00:00:00,,2019-12-05 00:00:00,2019-12-12 00:00:00,2019-12-13 00:00:00,Closed
300388D.002,RCZ,235743,J04154,,2019-11-05T09:00:00,,SCRAP,2019-12-13 00:00:00,SCRAP,Closed
300388D.002,,235730,J03098,,2019-11-04 00:00:00,,2019-12-12 00:00:00,2019-12-16 00:00:00,2019-12-20 00:00:00,Closed
300388D.002,RCF,232198,J03987,,2019-05-02T08:00:00,,,2019-12-19 00:00:00,,Closed
300388D.002,RCZ,236222,J02084,,2019-12-06T09:00:00,,2019-12-17 00:00:00,2019-12-19 00:00:00,2019-12-20 00:00:00,Closed
300388D.002,RCZ,235230,J02268,,2019-10-17T08:00:00,,2019-12-19 00:00:00,2020-01-02 00:00:00,2020-01-10 00:00:00,Closed
300388D.002,,235742,J03100,,2019-11-05 00:00:00,,2019-12-05 00:00:00,2019-12-12 00:00:00,2020-01-10 00:00:00,Closed
300388d.002,,235231,J01900,,2019-10-17 00:00:00,,2019-12-19 00:00:00,2020-01-22 00:00:00,2020-01-24 00:00:00,Closed
300388d.002,,236555,J03190,,2020-01-03 00:00:00,,2020-01-23 00:00:00,2020-01-23 00:00:00,2020-01-24 00:00:00,Closed
300388D.002,RCZ,233423,J03035,,2019-06-25T08:00:00,,2020-01-23 00:00:00,2020-01-24 00:00:00,2020-01-31 00:00:00,CLOSED
300388D.002,RCZ,235744,J00446,,2019-11-05T09:00:00,,na,2020-02-10 00:00:00,na,Closed
300388D.002,RCF,236977,J01991,,2020-01-28T09:00:00,,,2020-02-14 00:00:00,2020-02-21 00:00:00,Closed
300388D.002,RCZ,234958,J01574,,2019-10-01T08:00:00,,2020-02-06 00:00:00,2020-02-21 00:00:00,2020-02-28 00:00:00,Closed
300388D.002,RCZ,,J01776,,2019-05-14T07:00:00,,2020-03-23 00:00:00,2020-03-26 00:00:00,2020-03-27 00:00:00,Closed
300388D.002,,,j02203,,2019-11-07 00:00:00,,2020-03-20 00:00:00,2020-03-26 00:00:00,2020-03-27 00:00:00,Closed
300388D.002,,,j03972,,2020-03-03 00:00:00,,2020-03-12 00:00:00,2020-03-18 00:00:00,2020-03-20 00:00:00,Closed
300388D.002,,,SJ03695,,2019-05-30 00:00:00,,2020-03-02 00:00:00,2020-03-11 00:00:00,2020-03-13 00:00:00,Closed
300388D.002,,,J01281,,2019-10-17 00:00:00,,2020-02-06 00:00:00,2020-03-11 00:00:00,2020-03-13 00:00:00,Closed
300388D.002,,,J02388,,2020-03-03 00:00:00,,2020-03-03 00:00:00,2020-03-03 00:00:00,2020-03-20 00:00:00,Closed
300388D.002,,,J03165,,2020-02-19,,2020-03-16 00:00:00,2020-03-18 00:00:00,2020-03-20 00:00:00,Closed
300388D.002,RCZ,237305,SJ03484,,2020-02-19T09:00:00,,2020-03-03 00:00:00,2020-04-01 00:00:00,2020-04-01 00:00:00,Closed
300388D.002,RCZ,236967,J01914,,2020-01-28T09:00:00,,2020-03-30 00:00:00,2020-04-01 00:00:00,2020-04-01 00:00:00,Closed
300388D.002,RCZ,232119,J03524,,2019-04-24T08:00:00,,2020-03-31 00:00:00,2020-04-01 00:00:00,2020-04-01 00:00:00,Closed
300388D.002,,232716,J02612,,2019-05-22 00:00:00,,2020-03-31 00:00:00,2020-04-01 00:00:00,2020-04-01 00:00:00,Closed
300388D.002,,234367,J03595,,2019-08-15 00:00:00,,2020-04-02 00:00:00,2020-04-03 00:00:00,2020-04-10 00:00:00,Closed
300388D.002,RCZ,236621,J01029,,2020-01-15T09:00:00,,2020-04-03 00:00:00,2020-04-06 00:00:00,2020-04-10 00:00:00,Closed
300388D.002,RCZ,234712,J03342,,2019-09-10T08:00:00,,2020-04-03 00:00:00,2020-04-06 00:00:00,2020-04-10 00:00:00,Closed
300388D.002,RCZ,237304,J02660,,2020-02-19T09:00:00,,2020-04-07 00:00:00,2020-04-07 00:00:00,2020-04-10 00:00:00,Closed
300388D.002,RCZ,238100,J03878,,2020-03-25T08:00:00,,2020-04-07 00:00:00,2020-04-10 00:00:00,2020-04-17 00:00:00,Closed
300388D.002,RCZ,236665,J02631,,2020-01-22T09:00:00,,2020-04-10 00:00:00,2020-04-13 00:00:00,2020-04-17 00:00:00,Closed
300388D.002,,236966,J03515,,2020-01-28 00:00:00,,2020-04-14 00:00:00,2020-04-15 00:00:00,2020-04-17 00:00:00,CLOSED
300388D.002,,237303,J03957,,2020-02-19 00:00:00,,2020-04-13 00:00:00,2020-04-15 00:00:00,2020-04-17 00:00:00,CLOSED
300388D.002,RCZ,236620,J02659,,2020-01-15T09:00:00,,2020-04-09 00:00:00,2020-04-15 00:00:00,2020-04-17 00:00:00,CLOSED
300388D.002,RCZ,236627,J02415,,2020-01-15T09:00:00,,2020-05-08 00:00:00,2020-05-15 00:00:00,2020-05-22 00:00:00,Closed
300388D.002,RCZ,232022,J03397,,2019-04-16T08:00:00,,2020-05-15 00:00:00,2020-05-18 00:00:00,2020-05-22 00:00:00,Closed
300388D.002,,238452,J01395,,2020-04-09 00:00:00,,2020-05-21 00:00:00,2020-05-22 00:00:00,2020-05-29 00:00:00,Closed
300388D.002,RCZ,234500,J01624,,2019-08-27T08:00:00,,2020-05-19 00:00:00,2020-05-22 00:00:00,2020-05-29 00:00:00,Closed
300388D.002,RCF,240122,J01991,,2020-07-23T08:00:00,,2020-08-10 00:00:00,2020-08-10 00:00:00,2020-08-14 00:00:00,Closed
300388D.002,RCZ,240271,J03676,,2020-08-04T08:00:00,,2020-08-17 00:00:00,2020-08-19 00:00:00,2020-08-21 00:00:00,Closed
300388D.002,RCZ,240272,J02610,,2020-08-04T08:00:00,,2020-08-19 00:00:00,2020-08-19 00:00:00,2020-08-21 00:00:00,Closed
300388D.002,RCZ,240157,J04044,,2020-07-24T08:00:00,,2020-08-18 00:00:00,2020-08-25 00:00:00,2020-08-28 00:00:00,Closed
300388D.002,,240340,J03208,,2020-08-06 00:00:00,,2020-08-24 00:00:00,2020-08-25 00:00:00,2020-08-28 00:00:00,Closed
300388D.002,RCF,240399,J02631,,2020-08-13T08:00:00,,2020-04-10 00:00:00,2020-08-26 00:00:00,2020-08-28 00:00:00,Closed
300388D.002,,239535,SJ02929,,2020-06-16 00:00:00,,2020-08-26 00:00:00,2020-08-31 00:00:00,2020-09-04 00:00:00,Closed
300388D.002,,240273,J00908,,2020-08-04 00:00:00,,2020-08-25 00:00:00,2020-08-31 00:00:00,2020-09-04 00:00:00,Closed
